###A table for determining the band around a star that would contain rocky planets
###Format is star type, star mass, star luminosity, inner AU, outer AU, habitability modifier
K6II, 6.94, 880, 16.595, 77.144, -5
K6III, 3.63, 91, 5.336, 24.807, -4
K6V, 0.47, 0.07, 0.148, 0.688, -2
K6VI, 0.44, 0.056, 0.132, 0.615, -3
K6VII, 0.06, 0.00006, 0.004, 0.02, -4
K5Ia, 24.8, 76000, 154.22, 716.914, -7
K5Ib, 12.85, 7600, 48.769, 226.708, -6
K5II, 6.89, 860, 16.405, 76.262, -5
K5III, 3.59, 88, 5.248, 24.395, -4
K5V, 0.49, 0.085, 0.163, 0.758, -2
K5VI, 0.46, 0.068, 0.146, 0.678, -3
K5VII, 0.06, 0.00006, 0.004, 0.02, -4
K4Ia, 24.71, 75000, 153.202, 712.182, -6
K4Ib, 12.8, 7500, 48.447, 225.212, -5
K4II, 6.85, 840, 16.213, 75.37, -4
K4III, 3.56, 85, 5.158, 23.976, -3
K4V, 0.52, 0.1, 0.177, 0.822, -1
K4VI, 0.49, 0.08, 0.158, 0.736, -2
K4VII, 0.06, 0.00006, 0.004, 0.02, -3
K3Ia, 24.62, 74000, 152.178, 707.418, -5
K3Ib, 12.75, 7400, 48.123, 223.705, -4
K3II, 6.8, 820, 16.019, 74.468, -3
K3III, 3.52, 82, 5.066, 23.549, -2
K3IV, 1.76, 7.3, 1.511, 7.026, -1
K3V, 0.59, 0.16, 0.224, 1.04, 0
K3VI, 0.56, 0.128, 0.2, 0.93, -1
K3VII, 0.06, 0.00007, 0.005, 0.022, -2
K2Ia, 24.52, 73000, 151.146, 702.622, -5
K2Ib, 12.7, 7300, 47.797, 222.189, -4
K2II, 6.75, 800, 15.823, 73.554, -3
K2III, 3.48, 79, 4.972, 23.114, -2
K2IV, 1.77, 7.45, 1.527, 7.098, -1
K2V, 0.65, 0.22, 0.262, 1.22, 0
K2VI, 0.61, 0.176, 0.235, 1.091, -1
K2VII, 0.06, 0.00007, 0.005, 0.022, -2
K1Ia, 24.42, 72000, 150.107, 697.793, -5
K1Ib, 12.65, 7200, 47.468, 220.661, -4
K1II, 6.7, 780, 15.624, 72.629, -3
K1III, 3.45, 76, 4.877, 22.671, -2
K1IV, 1.79, 7.6, 1.542, 7.169, -1
K1V, 0.7, 0.28, 0.296, 1.376, 0
K1VI, 0.65, 0.224, 0.265, 1.231, -1
K1VII, 0.06, 0.00007, 0.005, 0.022, -2
K0Ia, 24.33, 71000, 149.061, 692.93, -5
K0Ib, 12.6, 7100, 47.137, 219.124, -4
K0II, 6.65, 760, 15.422, 71.691, -3
K0III, 3.41, 73, 4.78, 22.219, -2
K0IV, 1.8, 7.75, 1.557, 7.24, -1
K0V, 0.73, 0.34, 0.326, 1.516, 0
K0VI, 0.69, 0.272, 0.292, 1.356, -1
K0VII, 0.07, 0.00008, 0.005, 0.023, -2
G9Ia, 24.23, 70000, 148.008, 688.033, -5
G9Ib, 12.55, 7000, 46.804, 217.575, -4
G9II, 6.6, 740, 15.218, 70.742, -3
G9III, 3.37, 70, 4.68, 21.758, -2
G9IV, 1.8, 7.9, 1.572, 7.309, -1
G9V, 0.77, 0.4, 0.354, 1.645, 0
G9VI, 0.72, 0.32, 0.316, 1.471, -1
G9VII, 0.07, 0.00008, 0.005, 0.023, -2
G8Ia, 24.13, 69000, 146.947, 683.101, -5
G8Ib, 12.5, 6900, 46.469, 216.015, -4
G8II, 6.55, 720, 15.011, 69.779, -3
G8III, 3.32, 67, 4.579, 21.286, -2
G8IV, 1.81, 8.05, 1.587, 7.378, -1
G8V, 0.8, 0.46, 0.379, 1.764, 0
G8VI, 0.75, 0.368, 0.339, 1.578, -1
G8VII, 0.07, 0.00008, 0.005, 0.023, -2
G7Ia, 24.03, 68000, 145.878, 678.133, -5
G7Ib, 12.45, 6800, 46.131, 214.444, -4
G7II, 6.5, 700, 14.801, 68.803, -3
G7III, 3.28, 64, 4.475, 20.804, -2
G7IV, 1.82, 8.2, 1.602, 7.447, -1
G7V, 0.83, 0.52, 0.403, 1.875, 0
G7VI, 0.78, 0.416, 0.361, 1.677, -1
G7VII, 0.07, 0.00008, 0.005, 0.023, -2
G6Ia, 23.93, 67000, 144.801, 673.128, -5
G6Ib, 12.39, 6700, 45.79, 212.862, -4
G6II, 6.54, 715, 14.958, 69.537, -3
G6III, 3.24, 61, 4.369, 20.311, -2
G6IV, 1.83, 8.35, 1.617, 7.515, -1
G6V, 0.86, 0.58, 0.426, 1.98, 0
G6VI, 0.8, 0.464, 0.381, 1.771, -1
G6VII, 0.07, 0.00009, 0.005, 0.025, -2
G5Ia, 23.82, 66000, 143.717, 668.086, -5
G5Ib, 12.34, 6600, 45.447, 211.267, -4
G5II, 6.58, 730, 15.115, 70.262, -3
G5III, 3.19, 58, 4.26, 19.805, -2
G5IV, 1.84, 8.5, 1.631, 7.582, -1
G5V, 0.88, 0.64, 0.448, 2.08, 0
G5VI, 0.83, 0.512, 0.4, 1.861, -1
G5VII, 0.07, 0.00009, 0.005, 0.025, -2
G4Ia, 23.72, 65000, 142.624, 663.005, -5
G4Ib, 12.29, 6500, 45.102, 209.661, -4
G4II, 6.62, 745, 15.269, 70.98, -3
G4III, 3.14, 55, 4.149, 19.286, -2
G4IV, 1.85, 8.65, 1.645, 7.648, -1
G4V, 0.9, 0.7, 0.468, 2.176, 0
G4VI, 0.85, 0.56, 0.419, 1.946, -1
G4VII, 0.07, 0.00009, 0.005, 0.025, -2
G3Ia, 23.62, 64000, 141.522, 657.885, -5
G3Ib, 12.23, 6400, 44.753, 208.042, -4
G3II, 6.65, 760, 15.422, 71.691, -3
G3III, 3.09, 52, 4.034, 18.753, -2
G3IV, 1.86, 8.8, 1.659, 7.714, -1
G3V, 0.92, 0.76, 0.488, 2.267, 0
G3VI, 0.87, 0.608, 0.436, 2.028, -1
G3VII, 0.07, 0.00009, 0.005, 0.025, -2
G2Ia, 23.51, 63000, 140.412, 652.725, -5
G2Ib, 12.18, 6300, 44.402, 206.41, -4
G2II, 6.69, 775, 15.573, 72.395, -3
G2III, 3.06, 50, 3.956, 18.388, -2
G2IV, 1.87, 8.95, 1.674, 7.78, -1
G2V, 0.94, 0.82, 0.507, 2.355, 0
G2VI, 0.89, 0.656, 0.453, 2.106, -1
G2VII, 0.07, 0.0001, 0.006, 0.026, -2
G1Ia, 23.4, 62000, 139.293, 647.524, -5
G1Ib, 12.12, 6200, 44.048, 204.765, -4
G1II, 6.73, 790, 15.723, 73.093, -3
G1III, 3.06, 50, 3.956, 18.388, -2
G1IV, 1.88, 9.1, 1.688, 7.845, -1
G1V, 1, 1, 0.559, 2.601, 0
G1VI, 0.94, 0.8, 0.5, 2.326, -1
G1VII, 0.08, 0.00015, 0.007, 0.032, -2
G0Ia, 23.29, 61000, 138.166, 642.281, -5
G0Ib, 12.06, 6100, 43.692, 203.107, -4
G0II, 6.76, 805, 15.872, 73.783, -3
G0III, 3.09, 52, 4.034, 18.753, -2
G0IV, 1.89, 9.25, 1.701, 7.909, -1
G0V, 1, 1, 0.559, 2.601, 0
G0VI, 0.94, 0.8, 0.5, 2.326, -1
G0VII, 0.09, 0.0002, 0.008, 0.037, -2
F9Ia, 23.18, 60000, 137.028, 636.995, -5
F9Ib, 12.01, 6000, 43.332, 201.435, -4
F9II, 6.8, 820, 16.019, 74.468, -3
F9III, 3.14, 55, 4.149, 19.286, -2
F9IV, 1.9, 9.4, 1.715, 7.973, -1
F9V, 1.16, 1.7, 0.729, 3.391, 0
F9VI, 1.09, 1.36, 0.652, 3.033, -1
F9VII, 0.09, 0.00025, 0.009, 0.041, -2
F8Ia, 23.07, 59000, 135.882, 631.664, -5
F8Ib, 12.01, 6000, 43.332, 201.435, -4
F8II, 6.84, 835, 16.165, 75.146, -3
F8III, 3.19, 58, 4.26, 19.805, -2
F8IV, 1.91, 9.55, 1.729, 8.036, -1
F8V, 1.28, 2.4, 0.867, 4.029, 0
F8VI, 1.2, 1.92, 0.775, 3.603, -1
F8VII, 0.1, 0.0003, 0.01, 0.045, -2
F7Ia, 22.96, 58000, 134.725, 626.288, -6
F7Ib, 12.12, 6200, 44.048, 204.765, -5
F7II, 6.87, 850, 16.31, 75.818, -4
F7III, 3.24, 61, 4.369, 20.311, -3
F7IV, 1.91, 9.7, 1.742, 8.099, -2
F7V, 1.38, 3.1, 0.985, 4.579, -1
F7VI, 1.3, 2.48, 0.881, 4.095, -2
F7VII, 0.1, 0.00035, 0.01, 0.049, -3
F6Ia, 22.85, 57000, 133.559, 620.866, -6
F6Ib, 12.23, 6400, 44.753, 208.042, -5
F6II, 6.9, 865, 16.453, 76.484, -4
F6III, 3.28, 64, 4.475, 20.804, -3
F6IV, 1.92, 9.85, 1.756, 8.162, -2
F6V, 1.46, 3.8, 1.091, 5.069, -1
F6VI, 1.37, 3.04, 0.975, 4.534, -2
F6VII, 0.11, 0.0004, 0.011, 0.052, -3
F5Ia, 22.73, 56000, 132.382, 615.395, -6
F5Ib, 12.34, 6600, 45.447, 211.267, -5
F5II, 6.94, 880, 16.595, 77.144, -4
F5III, 3.32, 67, 4.579, 21.286, -3
F5IV, 1.93, 10, 1.769, 8.224, -2
F5V, 1.54, 4.5, 1.187, 5.517, -1
F5VI, 1.44, 3.6, 1.061, 4.934, -2
F5VII, 0.11, 0.00045, 0.012, 0.055, -3
F4Ia, 22.61, 55000, 131.195, 609.876, -7
F4Ib, 12.45, 6800, 46.131, 214.444, -6
F4II, 6.97, 895, 16.736, 77.799, -5
F4III, 3.37, 70, 4.68, 21.758, -4
F4IV, 2.21, 16, 2.238, 10.402, -3
F4V, 1.6, 5.2, 1.276, 5.93, -2
F4VI, 1.5, 4.16, 1.141, 5.304, -3
F4VII, 0.11, 0.0005, 0.013, 0.058, -4
F3Ia, 22.5, 54000, 129.996, 604.306, -7
F3Ib, 12.55, 7000, 46.804, 217.575, -6
F3II, 7.01, 910, 16.875, 78.448, -5
F3III, 3.41, 73, 4.78, 22.219, -4
F3IV, 2.42, 22, 2.624, 12.198, -3
F3V, 1.66, 5.9, 1.359, 6.317, -2
F3VI, 1.56, 4.72, 1.215, 5.65, -3
F3VII, 0.12, 0.00055, 0.013, 0.061, -4
F2Ia, 22.38, 53000, 128.787, 598.685, -8
F2Ib, 12.65, 7200, 47.468, 220.661, -7
F2II, 7.04, 925, 17.014, 79.092, -6
F2III, 3.45, 76, 4.877, 22.671, -5
F2IV, 2.59, 28, 2.96, 13.761, -4
F2V, 1.71, 6.6, 1.437, 6.681, -3
F2VI, 1.61, 5.28, 1.285, 5.976, -4
F2VII, 0.12, 0.0006, 0.014, 0.064, -5
F1Ia, 22.26, 52000, 127.566, 593.01, -8
F1Ib, 12.75, 7400, 48.123, 223.705, -7
F1II, 7.07, 940, 17.151, 79.73, -6
F1III, 3.48, 79, 4.972, 23.114, -5
F1IV, 2.74, 34, 3.262, 15.164, -4
F1V, 1.76, 7.3, 1.511, 7.026, -3
F1VI, 1.66, 5.84, 1.352, 6.284, -4
F1VII, 0.12, 0.00065, 0.014, 0.066, -5
F0Ia, 22.13, 51000, 126.334, 587.28, -9
F0Ib, 12.85, 7600, 48.769, 226.708, -8
F0II, 7.1, 955, 17.288, 80.364, -7
F0III, 3.52, 82, 5.066, 23.549, -6
F0IV, 2.87, 40, 3.538, 16.447, -5
F0V, 1.81, 8, 1.582, 7.355, -4
F0VI, 1.7, 6.4, 1.415, 6.579, -5
F0VII, 0.13, 0.0007, 0.015, 0.069, -6
A9Ia, 22.01, 50000, 125.089, 581.494, -9
A9Ib, 12.94, 7800, 49.406, 229.672, -8
A9II, 7.13, 970, 17.423, 80.993, -7
A9III, 3.56, 85, 5.158, 23.976, -6
A9IV, 2.99, 46, 3.794, 17.638, -5
A9V, 1.93, 10, 1.769, 8.224, -4
A9VI, 1.81, 8, 1.582, 7.355, -5
A9VII, 0.13, 0.00075, 0.015, 0.071, -6
A8Ia, 22.01, 50000, 125.089, 581.494, -10
A8Ib, 13.04, 8000, 50.036, 232.598, -9
A8II, 7.17, 985, 17.557, 81.617, -8
A8III, 3.59, 88, 5.248, 24.395, -7
A8IV, 3.09, 52, 4.034, 18.753, -6
A8V, 2.24, 16.9, 2.3, 10.691, -5
A8VI, 2.1, 13.52, 2.057, 9.562, -6
A8VII, 0.13, 0.0008, 0.016, 0.074, -7
A7Ia, 22.01, 50000, 125.089, 581.494, -10
A7Ib, 13.13, 8200, 50.657, 235.487, -9
A7II, 7.2, 1000, 17.69, 82.236, -8
A7III, 3.63, 91, 5.336, 24.807, -7
A7IV, 3.19, 58, 4.26, 19.805, -6
A7V, 2.47, 23.8, 2.729, 12.687, -5
A7VI, 2.32, 19.04, 2.441, 11.347, -6
A7VII, 0.13, 0.00085, 0.016, 0.076, -7
A6Ia, 22.01, 50000, 125.089, 581.494, -11
A6Ib, 13.22, 8400, 51.271, 238.342, -10
A6II, 8, 1450, 21.302, 99.025, -9
A6III, 3.66, 94, 5.424, 25.213, -8
A6IV, 3.28, 64, 4.475, 20.804, -7
A6V, 2.66, 30.7, 3.1, 14.409, -6
A6VI, 2.5, 24.56, 2.772, 12.888, -7
A6VII, 0.13, 0.0009, 0.017, 0.078, -8
A5Ia, 22.01, 50000, 125.089, 581.494, -11
A5Ib, 13.31, 8600, 51.878, 241.162, -10
A5II, 8.65, 1900, 24.384, 113.354, -9
A5III, 3.7, 97, 5.51, 25.612, -8
A5IV, 3.37, 70, 4.68, 21.758, -7
A5V, 2.82, 37.6, 3.43, 15.946, -6
A5VI, 2.64, 30.08, 3.068, 14.263, -7
A5VII, 0.14, 0.00095, 0.017, 0.08, -8
A4Ia, 22.01, 50000, 125.089, 581.494, -11
A4Ib, 13.4, 8800, 52.478, 243.95, -10
A4II, 9.19, 2350, 27.119, 126.065, -9
A4III, 3.73, 100, 5.594, 26.005, -8
A4IV, 3.45, 76, 4.877, 22.671, -7
A4V, 2.96, 44.5, 3.732, 17.348, -6
A4VI, 2.78, 35.6, 3.338, 15.516, -7
A4VII, 0.14, 0.001, 0.018, 0.082, -8
A3Ia, 22.01, 50000, 125.089, 581.494, -12
A3Ib, 13.48, 9000, 53.071, 246.707, -11
A3II, 9.66, 2800, 29.602, 137.607, -10
A3III, 4.84, 250, 8.845, 41.118, -9
A3IV, 3.52, 82, 5.066, 23.549, -8
A3V, 3.08, 51.4, 4.011, 18.644, -7
A3VI, 2.89, 41.12, 3.587, 16.676, -8
A3VII, 0.16, 0.0016, 0.022, 0.104, -9
A2Ia, 22.01, 50000, 125.089, 581.494, -12
A2Ib, 13.57, 9200, 53.657, 249.433, -11
A2II, 10.08, 3250, 31.892, 148.252, -10
A2III, 5.54, 400, 11.188, 52.01, -9
A2IV, 3.59, 88, 5.248, 24.395, -8
A2V, 3.2, 58.3, 4.271, 19.856, -7
A2VI, 3, 46.64, 3.82, 17.76, -8
A2VII, 0.17, 0.0022, 0.026, 0.122, -9
A1Ia, 22.01, 50000, 125.089, 581.494, -12
A1Ib, 13.65, 9400, 54.237, 252.13, -11
A1II, 10.46, 3700, 34.028, 158.183, -10
A1III, 6.07, 550, 13.119, 60.988, -9
A1IV, 3.66, 94, 5.424, 25.213, -8
A1V, 3.3, 65.2, 4.517, 20.998, -7
A1VI, 3.1, 52.16, 4.04, 18.781, -8
A1VII, 0.19, 0.0028, 0.03, 0.138, -9
A0Ia, 22.01, 50000, 125.089, 581.494, -13
A0Ib, 13.73, 9600, 54.811, 254.798, -12
A0II, 10.81, 4150, 36.038, 167.527, -11
A0III, 6.5, 700, 14.801, 68.803, -10
A0IV, 3.73, 100, 5.594, 26.005, -9
A0V, 3.39, 72.1, 4.75, 22.081, -8
A0VI, 3.19, 57.68, 4.249, 19.75, -9
A0VII, 0.2, 0.0034, 0.033, 0.152, -10
B9Ia, 22.01, 50000, 125.089, 581.494, -13
B9Ib, 13.81, 9800, 55.379, 257.438, -12
B9II, 11.13, 4600, 37.941, 176.376, -11
B9III, 6.87, 850, 16.31, 75.818, -10
B9IV, 5, 280, 9.361, 43.515, -9
B9V, 3.48, 79, 4.972, 23.114, -8
B9VI, 3.27, 63.2, 4.447, 20.674, -9
B9VII, 0.21, 0.004, 0.035, 0.164, -10
B8Ia, 22.01, 50000, 125.089, 581.494, -13
B8Ib, 13.89, 10000, 55.942, 260.052, -12
B8II, 11.4, 5000, 39.557, 183.885, -11
B8III, 7.2, 1000, 17.69, 82.236, -10
B8IV, 5.76, 460, 11.998, 55.775, -9
B8V, 3.57, 85.9, 5.185, 24.102, -8
B8VI, 3.35, 68.72, 4.637, 21.558, -9
B8VII, 0.21, 0.0046, 0.038, 0.176, -10
B7Ia, 22.01, 50000, 125.089, 581.494, -13
B7Ib, 15.6, 15000, 68.514, 318.497, -12
B7II, 14.09, 10500, 57.323, 266.474, -11
B7III, 7.49, 1150, 18.971, 88.188, -10
B7IV, 6.34, 640, 14.152, 65.789, -9
B7V, 3.65, 92.8, 5.389, 25.052, -8
B7VI, 3.42, 74.24, 4.82, 22.407, -9
B7VII, 0.22, 0.0052, 0.04, 0.188, -10
B6Ia, 22.01, 50000, 125.089, 581.494, -14
B6Ib, 16.94, 20000, 79.113, 367.769, -13
B6II, 15.89, 16000, 70.761, 328.943, -12
B6III, 13.04, 8000, 50.036, 232.598, -11
B6IV, 6.8, 820, 16.019, 74.468, -10
B6V, 3.73, 100, 5.594, 26.005, -9
B6VI, 3.5, 80, 5.004, 23.26, -10
B6VII, 0.23, 0.0058, 0.043, 0.198, -11
B5Ia, 22.01, 50000, 125.089, 581.494, -14
B5Ib, 18.05, 25000, 88.451, 411.178, -13
B5II, 17.29, 21500, 82.026, 381.311, -12
B5III, 15.6, 15000, 68.514, 318.497, -11
B5IV, 7.2, 1000, 17.69, 82.236, -10
B5V, 5.9, 500, 12.509, 58.149, -9
B5VI, 5.54, 400, 11.188, 52.01, -10
B5VII, 0.24, 0.0064, 0.045, 0.208, -11
B4Ia, 22.01, 50000, 125.089, 581.494, -14
B4Ib, 19.02, 30000, 96.894, 450.423, -13
B4II, 18.45, 27000, 91.921, 427.309, -12
B4III, 17.41, 22000, 82.975, 385.719, -11
B4IV, 14.2, 10800, 58.136, 270.254, -10
B4V, 7.2, 1000, 17.69, 82.236, -9
B4VI, 6.75, 800, 15.823, 73.554, -10
B4VII, 0.24, 0.007, 0.047, 0.218, -11
B3Ia, 22.01, 50000, 125.089, 581.494, -14
B3Ib, 19.87, 35000, 104.657, 486.513, -13
B3II, 19.46, 32500, 100.85, 468.815, -12
B3III, 18.84, 29000, 95.265, 442.853, -11
B3IV, 17.08, 20600, 80.291, 373.245, -10
B3V, 10.69, 4000, 35.381, 164.471, -9
B3VI, 10.03, 3200, 31.645, 147.108, -10
B3VII, 0.25, 0.0076, 0.049, 0.227, -11
B2Ia, 22.01, 50000, 125.089, 581.494, -15
B2Ib, 20.65, 40000, 111.883, 520.104, -14
B2II, 20.35, 38000, 109.05, 506.935, -13
B2III, 20.04, 36000, 106.142, 493.414, -12
B2IV, 19.09, 30400, 97.537, 453.416, -11
B2V, 12.55, 7000, 46.804, 217.575, -10
B2VI, 11.77, 5600, 41.863, 194.605, -11
B2VII, 0.25, 0.0083, 0.051, 0.237, -12
B1Ia, 22.01, 50000, 125.089, 581.494, -15
B1Ib, 21.35, 45000, 118.67, 551.654, -14
B1II, 21.15, 43500, 116.675, 542.381, -13
B1III, 21.08, 43000, 116.003, 539.255, -12
B1IV, 20.68, 40200, 112.163, 521.403, -11
B1V, 13.89, 10000, 55.942, 260.052, -10
B1VI, 13.04, 8000, 50.036, 232.598, -11
B1VII, 0.26, 0.0089, 0.053, 0.245, -12
B0Ia, 22.01, 50000, 125.089, 581.494, -15
B0Ib, 22.01, 50000, 125.089, 581.494, -14
B0II, 22.01, 50000, 125.089, 581.494, -13
B0III, 22.01, 50000, 125.089, 581.494, -12
B0IV, 22.01, 50000, 125.089, 581.494, -11
B0V, 22.01, 50000, 125.089, 581.494, -10
B0VI, 20.65, 40000, 111.883, 520.104, -11
B0VII, 0.27, 0.01, 0.056, 0.26, -12
